Date,Much Above Normal,Much Below Normal
1910,9.6,-3.6
1911,10,-18.9
1912,0,-61.5
1913,1.6,-28.3
1914,0,-11.3
1915,0,-23.9
1916,1.4,-31.3
1917,1,-42.8
1918,0.1,-7.8
1919,0.2,-21
1920,0,-33.7
1921,41.3,-0.4
1922,3.3,-13.8
1923,0,-19.3
1924,0.2,-31.7
1925,10,-1.6
1926,8.2,-17.2
1927,10.4,-14.5
1928,0.1,-2.9
1929,0.4,-25.5
1930,1.6,-4.7
1931,30.3,-3.4
1932,1.5,-8.6
1933,30.7,-1.4
1934,60.7,-0.6
1935,0.1,-3.8
1936,2.8,-2.1
1937,0.1,-2.7
1938,19.5,-0.7
1939,32.5,0
1940,4.2,-23.1
1941,1.9,-18.8
1942,0,-0.7
1943,0.9,-2.6
1944,0,-9.8
1945,0.6,-2.7
1946,14.1,-0.4
1947,0,-1.3
1948,0.4,-9.2
1949,6.5,-4.1
1950,8.5,-21.3
1951,1.3,-28.7
1952,1.6,-1.4
1953,25.9,0
1954,36.6,-1.6
1955,0.1,-12
1956,11.4,-0.5
1957,0,-8.6
1958,5.7,-34.9
1959,2.8,-2.5
1960,0,-18.8
1961,0.1,-8
1962,0.1,-3.5
1963,3.3,-3.9
1964,0,-11.9
1965,0,-10.4
1966,0.5,-15.7
1967,1.6,-3
1968,0,-20.1
1969,0,-17.2
1970,0,-1.5
1971,0,-7.8
1972,0,-21.5
1973,0,-7.9
1974,0.3,-0.2
1975,0.5,-17.5
1976,2.1,-13.5
1977,0.8,0
1978,0,-28.6
1979,0,-41.7
1980,0.2,-2.6
1981,14.3,-1.1
1982,0,-25.7
1983,0,-28.6
1984,0,-11.3
1985,0,-15.5
1986,2.1,0
1987,26.2,-2.5
1988,14.3,-0.5
1989,4.6,-11.6
1990,20.9,0
1991,6.6,-0.5
1992,10.2,-7.9
1993,0,-33.9
1994,4.3,0
1995,0.5,-0.1
1996,7.7,-24.3
1997,0.8,-8.8
1998,29.3,-4.6
1999,38.2,0
2000,9.7,0
2001,14.9,0
2002,6.2,-0.1
2003,20.2,-0.6
2004,1.7,-0.5
2005,5.1,0
2006,43.1,0
2007,29,-1
2008,1.7,-1.8
2009,1.8,-2.2
2010,6.4,-0.8
2011,19.1,-0.9
2012,85.8,0
2013,3.6,-7.1
2014,20.4,-18.5
2015,35.1,0
2016,64.4,0
2017,40.9,0
2018,20.2,-0.3
2019,9.7,-9.5
2020,45.8,0
2021,51.1,0
2022,24.3,-0.1
2023,49.6,-0.3
